order_id,order_date,region,plan,amount_eur,seats
ORD-000000,2024-01-01,APAC,free,789.7,38
ORD-000001,2024-01-02,APAC,enterprise,711.73,38
ORD-000002,2024-01-03,APAC,enterprise,710.84,37
ORD-000003,2024-01-04,AMER,free,293.82,14
ORD-000004,2024-01-05,APAC,enterprise,316.9,24
ORD-000005,2024-01-06,APAC,enterprise,512.01,15
ORD-000006,2024-01-07,AMER,pro,600.38,9
ORD-000007,2024-01-08,AMER,free,388.53,39
ORD-000008,2024-01-09,EMEA,free,488.01,18
ORD-000009,2024-01-10,EMEA,enterprise,639.24,24
ORD-000010,2024-01-11,AMER,pro,239.09,33
ORD-000011,2024-01-12,AMER,pro,498.76,19
ORD-000012,2024-01-13,APAC,enterprise,48.02,17
ORD-000013,2024-01-14,APAC,pro,663.38,14
ORD-000014,2024-01-15,AMER,pro,778.69,20
ORD-000015,2024-01-16,APAC,pro,95.85,24
ORD-000016,2024-01-17,AMER,enterprise,202.49,15
ORD-000017,2024-01-18,APAC,enterprise,666.85,17
ORD-000018,2024-01-19,AMER,pro,630.28,18
ORD-000019,2024-01-20,AMER,free,320.75,27
ORD-000020,2024-01-21,EMEA,pro,866.54,34
ORD-000021,2024-01-22,AMER,pro,727.88,15
ORD-000022,2024-01-23,APAC,pro,435.56,12
ORD-000023,2024-01-24,APAC,free,344.95,18
ORD-000024,2024-01-25,APAC,free,646.61,22
ORD-000025,2024-01-26,APAC,pro,273.94,10
ORD-000026,2024-01-27,APAC,free,877.29,12
ORD-000027,2024-01-28,AMER,free,329.96,4
ORD-000028,2024-01-29,AMER,free,311.72,12
ORD-000029,2024-01-30,EMEA,pro,393.15,10
ORD-000030,2024-01-31,APAC,enterprise,125.02,18
ORD-000031,2024-02-01,APAC,enterprise,369.78,39
ORD-000032,2024-02-02,APAC,free,364.92,12
ORD-000033,2024-02-03,APAC,free,667.46,8
ORD-000034,2024-02-04,APAC,pro,131.53,3
ORD-000035,2024-02-05,AMER,enterprise,185.81,2
ORD-000036,2024-02-06,AMER,enterprise,523.99,15
ORD-000037,2024-02-07,APAC,free,196.17,16
ORD-000038,2024-02-08,EMEA,pro,535.68,37
ORD-000039,2024-02-09,APAC,free,52.03,21
ORD-000040,2024-02-10,AMER,enterprise,768.36,6
ORD-000041,2024-02-11,AMER,pro,127.66,14
ORD-000042,2024-02-12,APAC,pro,893.99,24
ORD-000043,2024-02-13,EMEA,free,122.08,26
ORD-000044,2024-02-14,EMEA,enterprise,773.79,16
ORD-000045,2024-02-15,APAC,enterprise,231.7,3
ORD-000046,2024-02-16,AMER,enterprise,733.2,18
ORD-000047,2024-02-17,APAC,enterprise,441.65,1
ORD-000048,2024-02-18,EMEA,enterprise,354.68,15
ORD-000049,2024-02-19,AMER,enterprise,174.17,39
ORD-000050,2024-02-20,APAC,enterprise,861.5,11
ORD-000051,2024-02-21,EMEA,pro,687.7,29
ORD-000052,2024-02-22,EMEA,pro,426.43,14
ORD-000053,2024-02-23,AMER,free,79.38,6
ORD-000054,2024-02-24,EMEA,pro,24.23,27
ORD-000055,2024-02-25,AMER,pro,274.57,23
ORD-000056,2024-02-26,AMER,pro,884.01,11
ORD-000057,2024-02-27,EMEA,enterprise,484.54,8
ORD-000058,2024-02-28,APAC,pro,777.85,14
ORD-000059,2024-02-29,EMEA,pro,334.84,22
ORD-000060,2024-03-01,AMER,enterprise,512.15,18
ORD-000061,2024-03-02,APAC,free,563.96,24
ORD-000062,2024-03-03,EMEA,pro,597.72,35
ORD-000063,2024-03-04,AMER,pro,141.05,8
ORD-000064,2024-03-05,APAC,free,387.32,24
ORD-000065,2024-03-06,EMEA,pro,23.23,13
ORD-000066,2024-03-07,AMER,enterprise,412.77,26
ORD-000067,2024-03-08,APAC,free,171.63,30
ORD-000068,2024-03-09,EMEA,pro,737.26,4
ORD-000069,2024-03-10,EMEA,pro,213.35,21
ORD-000070,2024-03-11,AMER,pro,614.61,32
ORD-000071,2024-03-12,AMER,pro,724.75,35
ORD-000072,2024-03-13,EMEA,free,587.81,12
ORD-000073,2024-03-14,APAC,enterprise,461.55,40
ORD-000074,2024-03-15,EMEA,enterprise,468.39,21
ORD-000075,2024-03-16,APAC,enterprise,490.1,31
ORD-000076,2024-03-17,AMER,enterprise,117.92,18
ORD-000077,2024-03-18,APAC,pro,617.19,35
ORD-000078,2024-03-19,AMER,enterprise,753.46,29
ORD-000079,2024-03-20,AMER,pro,518.68,24
ORD-000080,2024-03-21,APAC,pro,503.85,11
ORD-000081,2024-03-22,EMEA,enterprise,843.22,6
ORD-000082,2024-03-23,AMER,enterprise,49.21,33
ORD-000083,2024-03-24,AMER,free,255.47,5
ORD-000084,2024-03-25,EMEA,enterprise,40.56,40
ORD-000085,2024-03-26,EMEA,pro,96.5,30
ORD-000086,2024-03-27,AMER,free,778.94,13
ORD-000087,2024-03-28,APAC,enterprise,318.16,2
ORD-000088,2024-03-29,EMEA,pro,347.99,5
ORD-000089,2024-03-30,EMEA,enterprise,653.18,4
ORD-000090,2024-03-31,EMEA,enterprise,277.47,18
ORD-000091,2024-04-01,APAC,enterprise,816.74,14
ORD-000092,2024-04-02,APAC,enterprise,720.31,18
ORD-000093,2024-04-03,AMER,free,733.41,19
ORD-000094,2024-04-04,EMEA,pro,100.51,36
ORD-000095,2024-04-05,APAC,enterprise,548.59,10
ORD-000096,2024-04-06,APAC,enterprise,497.67,25
ORD-000097,2024-04-07,APAC,free,846.67,15
ORD-000098,2024-04-08,APAC,pro,675.47,33
ORD-000099,2024-04-09,EMEA,free,631.63,26
ORD-000100,2024-04-10,EMEA,free,103.58,29
ORD-000101,2024-04-11,APAC,pro,468.67,33
ORD-000102,2024-04-12,APAC,free,569.29,23
ORD-000103,2024-04-13,APAC,free,160.76,32
ORD-000104,2024-04-14,AMER,enterprise,841.37,11
ORD-000105,2024-04-15,AMER,free,394.06,12
ORD-000106,2024-04-16,APAC,enterprise,204.46,13
ORD-000107,2024-04-17,AMER,enterprise,238.89,37
ORD-000108,2024-04-18,EMEA,pro,262.85,8
ORD-000109,2024-04-19,APAC,pro,351.65,38
ORD-000110,2024-04-20,EMEA,pro,404.89,1
ORD-000111,2024-04-21,APAC,pro,717.95,9
ORD-000112,2024-04-22,AMER,enterprise,549.33,9
ORD-000113,2024-04-23,AMER,free,277.01,7
ORD-000114,2024-04-24,AMER,pro,737.36,28
ORD-000115,2024-04-25,AMER,enterprise,858.46,13
ORD-000116,2024-04-26,EMEA,free,382.51,33
ORD-000117,2024-04-27,EMEA,pro,214.65,28
ORD-000118,2024-04-28,APAC,pro,151.04,12
ORD-000119,2024-04-29,AMER,enterprise,759.89,11
ORD-000120,2024-04-30,APAC,enterprise,493.19,29
ORD-000121,2024-05-01,AMER,enterprise,447.81,7
ORD-000122,2024-05-02,EMEA,free,410.99,37
ORD-000123,2024-05-03,EMEA,enterprise,403.1,20
ORD-000124,2024-05-04,AMER,enterprise,543.15,37
ORD-000125,2024-05-05,EMEA,enterprise,325.15,7
ORD-000126,2024-05-06,APAC,free,883.2,11
ORD-000127,2024-05-07,AMER,pro,154.98,36
ORD-000128,2024-05-08,AMER,free,72.72,37
ORD-000129,2024-05-09,EMEA,free,238.6,6
ORD-000130,2024-05-10,APAC,pro,753.5,17
ORD-000131,2024-05-11,APAC,free,240.32,20
ORD-000132,2024-05-12,APAC,free,346.96,27
ORD-000133,2024-05-13,EMEA,free,779.75,8
ORD-000134,2024-05-14,APAC,enterprise,115.16,32
ORD-000135,2024-05-15,EMEA,free,203.93,3
ORD-000136,2024-05-16,APAC,pro,382.34,35
ORD-000137,2024-05-17,APAC,free,294.97,5
ORD-000138,2024-05-18,AMER,enterprise,678.3,28
ORD-000139,2024-05-19,AMER,enterprise,751.12,31
ORD-000140,2024-05-20,APAC,free,748.6,27
ORD-000141,2024-05-21,EMEA,enterprise,63.21,14
ORD-000142,2024-05-22,APAC,enterprise,814.14,36
ORD-000143,2024-05-23,AMER,free,90.27,24
ORD-000144,2024-05-24,APAC,free,31.69,32
ORD-000145,2024-05-25,AMER,free,761.91,31
ORD-000146,2024-05-26,EMEA,pro,401.95,14
ORD-000147,2024-05-27,EMEA,enterprise,365.91,1
ORD-000148,2024-05-28,AMER,pro,39.27,29
ORD-000149,2024-05-29,AMER,pro,477.47,15
ORD-000150,2024-05-30,APAC,free,132.79,6
ORD-000151,2024-05-31,APAC,free,715.78,20
ORD-000152,2024-06-01,AMER,enterprise,731.15,8
ORD-000153,2024-06-02,EMEA,enterprise,585.3,20
ORD-000154,2024-06-03,EMEA,enterprise,826.61,12
ORD-000155,2024-06-04,AMER,pro,580.28,27
ORD-000156,2024-06-05,EMEA,free,480.04,20
ORD-000157,2024-06-06,APAC,pro,357.12,28
ORD-000158,2024-06-07,EMEA,pro,872.55,21
ORD-000159,2024-06-08,APAC,enterprise,646.58,25
ORD-000160,2024-06-09,APAC,enterprise,684.68,18
ORD-000161,2024-06-10,EMEA,enterprise,57.13,29
ORD-000162,2024-06-11,APAC,free,155.01,25
ORD-000163,2024-06-12,AMER,pro,338.03,39
ORD-000164,2024-06-13,AMER,free,394.33,18
ORD-000165,2024-06-14,EMEA,free,513.55,27
ORD-000166,2024-06-15,EMEA,free,560.22,20
ORD-000167,2024-06-16,AMER,pro,645.1,5
ORD-000168,2024-06-17,EMEA,free,376.47,33
ORD-000169,2024-06-18,AMER,free,733.34,24
ORD-000170,2024-06-19,EMEA,pro,98.07,2
ORD-000171,2024-06-20,EMEA,enterprise,215.76,6
ORD-000172,2024-06-21,EMEA,enterprise,191.14,34
ORD-000173,2024-06-22,EMEA,free,274.86,27
ORD-000174,2024-06-23,APAC,pro,535.66,21
ORD-000175,2024-06-24,EMEA,enterprise,673.13,7
ORD-000176,2024-06-25,AMER,enterprise,379.24,39
ORD-000177,2024-06-26,EMEA,free,108.38,5
ORD-000178,2024-06-27,AMER,enterprise,209.07,18
ORD-000179,2024-06-28,AMER,pro,274.67,37
ORD-000180,2024-06-29,APAC,free,267.84,38
ORD-000181,2024-06-30,APAC,pro,504.39,33
ORD-000182,2024-07-01,EMEA,free,725.04,32
ORD-000183,2024-07-02,APAC,free,344.5,21
ORD-000184,2024-07-03,AMER,enterprise,276.31,20
ORD-000185,2024-07-04,APAC,free,382.77,33
ORD-000186,2024-07-05,APAC,enterprise,883.33,16
ORD-000187,2024-07-06,APAC,pro,246.32,40
ORD-000188,2024-07-07,EMEA,free,897.81,9
ORD-000189,2024-07-08,AMER,free,89.98,12
ORD-000190,2024-07-09,APAC,pro,627.07,13
ORD-000191,2024-07-10,APAC,pro,173.12,7
